80 25
 [][][][][][][][][][][][][][][][][][][|][][][][][][][][][][][][][][][][][][]    
 [][][][][][][][][][][][][][][][][][][|][][][][][][][][][][][][][][][][][][]    
 [][]                                                                   [][]    
 [][]                                                                   [][]    
 [][]                                                                   [][]    
 [][]                               [|]                                 [][]    
 [][]                       [][][][][|][][][][]                         [][]    
 [][]                               [|]                                 [][]    
 [][]                               [|]                                 [][]    
 [][]                               [|]                                 [][]    
 [][]             |             [][][|][][]             |               [][]    
 [][]             |             [][][|][][]             |               [][]    
 [][]         [][][][][][][][][][][][|][][][][][][][][][][][]           [][]    
 [][]             |             [][][|][][]             |               [][]    
 [][]             |             [][][|][][]             |               [][]    
 [][]                               [|]                                 [][]    
 [][]                               [|]                                 [][]    
 [][]                               [|]                                 [][]    
 [][]                       [][][][][|][][][][]                         [][]    
 [][]                               [|]                                 [][]    
 [][]                                                                   [][]    
 [][]                                                                   [][]    
 [][]                                                                   [][]    
 [][][][][][][][][][][][][][][][][][][|][][][][][][][][][][][][][][][][][][]    
 [][][][][][][][][][][][][][][][][][][|][][][][][][][][][][][][][][][][][][]    

