80 25
 [][][][][][][][][][][][][][][][][][][|][][][][][][][][][][][][][][][][][][]    
 [][][][][][][][][][][][][][][][][][][|][][][][][][][][][][][][][][][][][][]    
 [][]                                                                   [][]    
 [][]                                                                   [][]    
 [][]                                                                   [][]    
 [][]                               [|]                                 [][]    
 [][]                               [|]                                 [][]    
 [][]                               [|]                                 [][]    
 [][]                               [|]                                 [][]    
 [][]                               [|]                                 [][]    
 [][]                           [][][|][][]                             [][]    
 [][]                           [][][|][][]                             [][]    
 [][]         [][][][][][][][][][][][|][][][][][][][][][][][]           [][]    
 [][]                           [][][|][][]                             [][]    
 [][]                           [][][|][][]                             [][]    
 [][]                               [|]                                 [][]    
 [][]                               [|]                                 [][]    
 [][]                               [|]                                 [][]    
 [][]                               [|]                                 [][]    
 [][]                               [|]                                 [][]    
 [][]                                                                   [][]    
 [][]                                                                   [][]    
 [][]                                                                   [][]    
 [][][][][][][][][][][][][][][][][][][|][][][][][][][][][][][][][][][][][][]    
 [][][][][][][][][][][][][][][][][][][|][][][][][][][][][][][][][][][][][][]    
 

